Russian,English,French
часть,part,partie
история,history,l'histoire
поиск,search,chercher
Только,only,seulement
полиция,police,police
мысль,thought,pensait
помощь,help,aider
запрос,request,demande
Добрый,kind,type
месяц,month,mois
родной брат,brother,frère
позволять,let,laisser
потому что,because,car
положить,to put,mettre
нет,no,non
поводка,leash,laisse
их,them,leur
город,city,ville
каждый,each,chaque
разговаривать,speak,parlez
приходить,come,viens
должен,should,devrait
детка,baby,bébé
много времени,long time,longue durée
часы,hours,les heures
буду,will,volonté
пока,while,tandis que
Встретимся снова,meet again,revoir
Любые,any,quelconque
квадратный,square,carré
разговаривать,speak,parlez
понял,understood,compris
знал,knew,savait
мы,were,étaient
Предупреждение,Warning,Avertissement
Вот,here is,Voici
мог,could,pouvait
кейс,case,Cas
дать,give,donner
тип,type,taper
их,their,leur
дано,given,étant donné
тренироваться,train,former
тело,body,corps
место,place,lieu
глаза,eyes,les yeux
способ,way,façon
Слушать,listen,Ecoutez
чья,whose,à qui
найти,find,trouver
первый,first,première
потерянный,lost,perdu
рука,hand,main
первый,first,première
сторона,side,côté
власть,power,Puissance
Старый,old,vieux
быть,be,être
здесь,here,ici
утро,morning,Matin
так много,so much,tellement
ребенок,child,enfant
точка,point,indiquer
пришел,came,venu
после,after,après
Прости,sorry,Pardon
приходить,come,viens
спереди,in front of,devant de
к,towards,vers
минут,minutes,minutes
запрос,request,demande
спальная комната,bedroom,chambre à coucher
размещены,placed,mis
Прекрасный,beautiful,magnifique
закон,law,droit
хотел бы,would like to,aimerais
сегодня,today,aujourd'hui
муж,husband,mari
причина,cause,causer
наконец,finally,finalement
надеяться,hope,espérer
вода,water,l'eau
Ждать,Wait,Attendez
осталось,left,la gauche
новый,new,Nouveau
работа,job,travail
Останавливаться,Stop,Arrêter
сказал бы,would say,dirait
земной шар,Earth,la terre
учетная запись,account,Compte
дано,given,étant donné
далеко,far,loin
конец,end,finir
полагать,believe,croyez
дорогой,sweetheart,amoureux
большой,large,grande
скорее,rather,plutôt
буду иметь,will have,aura
девушки,girls,filles
играть,to play,jouer
офис,office,Bureau
